Ligand,SMILES,MMGBSA_5,MMGBSA_7,Energy,CNNaffinity,log Kp (cm/s),#H-bond donors,10nM score no_adme,MMPBSA,MMGBSA_2,MMGBSA_8,CNNscore,CNN_VS,CNNaffinity_variance,XLOGP3,Veber #violations,MLOGP,Silicos-IT LogSw,PAINS #alerts,Ali Solubility (mg/ml),Brenk #alerts,Silicos-IT Solubility (mg/ml),#Heavy atoms,Ali Log S,#Aromatic heavy atoms,Synthetic Accessibility,Silicos-IT Solubility (mol/l),#H-bond acceptors,Fraction Csp3,Bioavailability Score,MW,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Silicos-IT Log P,Ali Solubility (mol/l),Egan #violations,Muegge #violations,TPSA,MR,Leadlikeness #violations,Consensus Log P,ESOL Log S,#Rotatable bonds,iLOGP,WLOGP,Ghose #violations,Lipinski #violations
Z31275803,COc1ccc(NS(=O)(=O)c2cccc(N/C=C3\C(=O)N(c4ccc(C)c(C)c4)C(=O)c4ccccc43)c2)cc1,-53.8764,-38.0728,-12.81568,7.9438734055,-5.81,2.0,0.9991379095966165,-26.0282,-49.0779,-29.1476,0.9642668962,7.6600141525,0.1832926273,5.44,0.0,3.34,-10.61,0.0,1.48e-05,2.0,1.36e-08,40.0,-7.57,24.0,4.0,2.45e-11,5.0,0.1,0.55,553.63,0.000115,2.08e-07,4.29,2.67e-08,1.0,1.0,113.19,159.03,2.0,4.55,-6.68,7.0,3.62,6.07,3.0,1.0
Z8174607609,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(S(=O)(=O)c2nnc[nH]2)CC1,-61.2355,-48.8741,-13.89777,7.6350007057,-8.85,2.0,0.9967154776753913,-35.4157,-54.2213,-44.8642,0.9053737521,6.9125294685,0.0867592171,0.68,1.0,1.63,-6.9,0.0,0.165,0.0,6.28e-05,35.0,-3.48,21.0,3.53,1.26e-07,9.0,0.23,0.55,497.5,0.198,0.000397,2.02,0.000333,1.0,1.0,153.39,130.45,1.0,1.51,-3.4,6.0,1.57,1.66,2.0,1.0
Z4898404656,O=C(C[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CC[C@@H]2CS(=O)(=O)C[C@@H]2C1,-51.4468,-43.7442,-13.68724,8.124127388,-7.77,1.0,0.9967090386322125,-17.7215,-47.1671,-35.1492,0.8034715056,6.527504921,0.0550400391,2.69,0.0,2.32,-8.24,0.0,0.0101,0.0,3.17e-06,38.0,-4.74,16.0,4.74,5.71e-09,6.0,0.39,0.55,554.06,0.00721,1.3e-05,3.81,1.83e-05,0.0,0.0,114.05,149.63,1.0,3.18,-4.89,6.0,2.74,4.34,2.0,1.0
Z4914836777,C[C@H]1c2nncn2CCN1C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,-51.5016,-43.0611,-13.35335,8.1721401215,-8.01,1.0,0.9965010915182863,-25.0785,-48.0558,-35.7951,0.9352483153,7.6429800987,0.1335159093,2.03,0.0,2.13,-8.03,0.0,0.081,0.0,4.84e-06,37.0,-3.8,21.0,4.49,9.35e-09,6.0,0.3,0.55,516.98,0.0232,4.49e-05,3.13,0.000157,0.0,0.0,102.24,142.88,1.0,2.72,-4.35,6.0,3.05,3.24,2.0,1.0
Z4999419473,O=C(C[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCCC[C@H]1c1nnc[nH]1,-48.1256,-39.9627,-12.85407,8.2887210846,-7.52,2.0,0.9954816340885012,-24.46,-45.7197,-34.312,0.9181563854,7.6103420258,0.2385719717,2.85,0.0,2.32,-9.01,0.0,0.00694,0.0,5.21e-07,38.0,-4.88,21.0,4.5,9.82e-10,6.0,0.32,0.55,531.01,0.00709,1.33e-05,4.36,1.31e-05,0.0,0.0,113.1,147.59,1.0,3.22,-4.87,7.0,2.66,3.91,2.0,1.0
Z4878380185,NS(=O)(=O)c1[nH]ncc1C(=O)NC[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,-47.3224,-36.4856,-12.62819,8.0016670227,-8.45,4.0,0.9953645839903394,-22.0439,-43.037,-30.1149,0.8142279983,6.5151815414,0.0914374441,1.62,1.0,0.39,-8.49,0.0,0.00592,0.0,1.74e-06,37.0,-4.96,21.0,4.03,3.21e-09,8.0,0.17,0.17,540.98,0.0423,7.82e-05,2.18,1.09e-05,1.0,1.0,177.54,135.08,2.0,1.8,-4.11,8.0,1.57,3.24,2.0,2.0
Z33263240,Cc1ccc(NC(=O)c2nn(-c3ccccc3)c(=O)c3ccccc23)cc1S(=O)(=O)Nc1ccc(Br)cc1,-47.5745,-34.0371,-12.62607,7.6270051003,-6.15,2.0,0.9952585051411268,-20.0326,-43.918,-26.0304,0.8186507225,6.2438530922,0.2367238998,5.28,0.0,4.31,-10.89,0.0,1.78e-05,0.0,7.61e-09,38.0,-7.52,28.0,3.59,1.29e-11,5.0,0.04,0.17,589.46,7.35e-05,1.25e-07,3.98,3.02e-08,1.0,1.0,118.54,151.33,2.0,4.46,-6.9,7.0,2.55,6.21,3.0,2.0
Z4898404655,CC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,-50.8568,-41.0301,-13.05587,8.0041971207,-7.74,1.0,0.995125660897676,-26.6793,-46.7052,-34.4973,0.8949730992,7.163541317,0.1040584072,2.43,0.0,1.99,-7.47,0.0,0.0517,0.0,1.74e-05,37.0,-4.0,16.0,5.2,3.35e-08,5.0,0.36,0.55,518.99,0.0186,3.58e-05,3.62,9.97e-05,0.0,0.0,91.84,147.68,1.0,2.83,-4.45,7.0,3.31,2.82,2.0,1.0
Z4914836784,NC(=O)[C@H]1Cc2[nH]cnc2CN1C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,-45.5194,-40.231,-13.69678,8.0986261368,-8.48,3.0,0.994013973185791,-13.5895,-42.5379,-33.4352,0.9494381547,7.6891446114,0.0822930485,1.61,1.0,0.67,-8.4,0.0,0.032,0.0,2.19e-06,39.0,-4.23,21.0,4.51,4.02e-09,6.0,0.25,0.55,544.99,0.0369,6.77e-05,3.45,5.87e-05,1.0,0.0,143.3,148.06,1.0,1.96,-4.17,7.0,1.71,2.38,2.0,1.0
Z8174632343,O=C(O)C[C@@H]1C[C@@H]1C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,-65.65,-55.8634,-13.92213,7.8176908493,-8.38,2.0,0.9922508247471515,-46.9199,-62.1961,-55.0338,0.9792735577,7.6556577682,0.0406191051,1.3,0.0,2.67,-6.09,0.0,0.157,0.0,0.000398,36.0,-3.5,16.0,4.11,8.07e-07,7.0,0.35,0.56,492.5,0.151,0.000307,3.59,0.000318,0.0,0.0,123.67,136.6,2.0,2.54,-3.51,8.0,3.41,1.71,2.0,0.0
