	Standard Value	Duplicate	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Units	pChEMBL Value	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay Description	BAO Label	Assay Organism	Assay Cell Type	Source ID	Properties	Action Type
CHEMBL522549	10	FALSE	None	278.74	0	1.91	24	C[C@]1(c2nc3c(C(N)=O)cc(Cl)cc3[nH]2)CCCN1	Ki	='	nM	8	28.7	0.58	6.09	9.55	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
CHEMBL495743	3	FALSE	None	262.29	0	1.4	23	C[C@]1(c2nc3c(C(N)=O)cc(F)cc3[nH]2)CCCN1	Ki	='	nM	8.52	32.49	0.61	7.12	10.17	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
CHEMBL497181	23	FALSE	None	258.28	0	0.79	20	C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCC(=O)N1	Ki	='	nM	7.64	29.57	0.55	6.85	7.57	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
VELIPARIB	3.3	FALSE	3	244.3	0	1.26	Veliparib	C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1	Ki	='	nM	8.48	34.72	0.64	7.22	10.12	0	Inhibition of PARP1 (unknown origin)	single protein format	Homo sapiens	None	1		INHIBITOR
	5	TRUE	3	244.3	0	1.26	3a, ABT-888	C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1	Ki	='	nM	8.3	33.98	0.63	7.04	9.91	1	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
	5	TRUE	3	244.3	0	1.26	4, ABT-888	C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1	Ki	='	nM	8.3	33.98	0.63	7.04	9.91	0	Inhibition of PARP1 by scintillation counting	single protein format	None	None	1		
CHEMBL497608	5	FALSE	None	244.3	0	1.26	4a	C[C@@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1	Ki	='	nM	8.3	33.98	0.63	7.04	9.91	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
CHEMBL3906980	1.9	FALSE	None	488.56	0	3.37	BDBM214548	C[C@@H]1CN(C(=O)c2ccccc2)CCN1C(=O)c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F	Ki	='	nM	8.72	17.85	0.33	5.35	10.1	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3965502	2.3	FALSE	None	489.55	0	2.84	BDBM214505	C[C@@H]1CN(C(=O)c2ccccc2)CCN1C(=O)c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F	Ki	='	nM	8.64	17.65	0.33	5.8	8.78	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3894113	85	FALSE	None	388.4	0	1.97	BDBM214515	C[C@H](NC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)C(=O)O	Ki	='	nM	7.07	18.2	0.34	5.1	5.69	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
