Protein,Ligand,ID,MMPBSA,MMGBSA_2,MMGBSA_5,MMGBSA_7,MMGBSA_8
7KK4,CHEMBL2058684_0,C84,-33.5563,-44.5396,-46.9913,-41.9852,-39.5717
7KK4,CHEMBL2058916_0,C16,-35.6959,-45.4799,-49.0739,-42.1457,-40.1143
7KK4,CHEMBL3945778_0,C78,-39.1632,-54.7549,-57.3953,-53.0600,-49.4192
7KK4,CHEMBL3976097_0,C97,-44.3499,-52.4232,-55.6063,-49.7637,-45.5068
7KK4,CHEMBL3910486_0,C86,-38.1876,-48.4259,-51.4302,-47.2962,-45.0066
7KK4,CHEMBL3897400_0,C00,-39.0015,-46.3533,-49.0346,-44.7877,-43.9607
7KK4,CHEMBL3948205_0,C05,-38.5281,-49.7642,-53.7969,-47.0459,-44.4837
7KK4,CHEMBL4564916_0,C16,-43.9650,-61.2362,-66.1358,-56.6663,-51.4589
7KK4,CHEMBL3971166_0,C66,-46.2382,-59.4344,-69.3600,-66.3011,-50.6306
7KK4,CHEMBL3971091_0,C91,-37.6232,-47.8421,-51.0569,-45.2415,-42.3352
7KK4,CHEMBL3943016_0,C16,-36.7319,-58.5288,-62.4246,-56.9035,-50.4999
7KK4,CHEMBL3971025_0,C25,-32.2993,-49.3830,-53.4225,-48.5328,-42.7771
7KK4,CHEMBL3897941_0,C41,-39.8673,-55.0547,-58.0693,-52.0887,-46.7260
7KK4,CHEMBL3912155_0,C55,-40.1134,-62.5823,-65.6451,-59.0720,-52.3713
7KK4,CHEMBL3961474_0,C74,-49.5854,-60.1131,-64.5225,-57.5394,-51.6337
7KK4,CHEMBL3962134_0,C34,-45.6359,-57.9567,-62.2745,-55.2387,-50.9787
7KK4,CHEMBL3955721_0,C21,-46.4854,-57.7486,-62.6998,-56.5276,-49.2715
7KK4,CHEMBL3930456_0,C56,-45.8426,-61.7099,-68.0349,-60.3964,-52.7648
7KK4,CHEMBL2058930_0,C30,-43.5296,-54.3279,-58.3444,-52.6261,-45.1209
7KK4,CHEMBL3942547_0,C47,-40.4665,-53.9186,-59.3071,-51.0707,-41.9821
7KK4,CHEMBL3934902_0,C02,-38.8889,-52.1954,-55.9728,-49.0899,-43.1311
7KK4,CHEMBL1986530_0,C30,-32.9797,-53.2599,-57.5073,-50.8259,-44.6357
7KK4,CHEMBL3977588_0,C88,-42.1346,-52.6795,-57.0288,-48.5809,-42.2012
7KK4,CHEMBL3890212_0,C12,-37.9239,-57.1374,-65.2905,-56.1851,-45.0868
7KK4,CHEMBL3935873_0,C73,-38.6664,-58.3782,-64.7623,-59.1678,-49.5599
7KK4,CHEMBL3957957_0,C57,-35.3020,-57.4850,-65.8293,-54.3813,-54.5796
7KK4,CHEMBL3917313_0,C13,-35.0599,-46.7679,-50.4033,-45.3612,-40.8224
7KK4,CHEMBL3925437_0,C37,-40.9215,-56.4449,-61.9797,-54.0499,-49.8955
7KK4,CHEMBL3936400_0,C00,-53.6704,-66.3406,-72.8805,-64.1395,-56.3367
7KK4,CHEMBL2058919_0,C19,-29.0796,-41.5864,-43.7380,-38.6939,-35.5716
7KK4,CHEMBL2058917_0,C17,-41.4097,-56.1828,-60.5179,-53.3143,-47.4639
7KK4,CHEMBL3927345_0,C45,-36.5428,-56.1228,-59.7733,-51.1763,-46.3923
7KK4,CHEMBL3974706_0,C06,-45.9941,-56.9217,-61.5741,-53.6395,-47.1191
7KK4,CHEMBL3912528_0,C28,-39.5168,-56.2717,-60.9771,-54.4473,-46.7771
7KK4,CHEMBL3949287_0,C87,-29.6020,-54.9297,-60.1255,-53.8310,-43.1713
7KK4,CHEMBL2058915_0,C15,-42.3219,-59.0158,-65.4818,-57.1198,-47.7088
7KK4,CHEMBL2058923_0,C23,-30.0503,-54.1179,-59.4753,-53.1511,-41.4039
7KK4,CHEMBL3896377_0,C77,-44.3808,-60.6524,-66.4494,-59.2119,-48.4546
7KK4,CHEMBL2058926_0,C26,-30.7798,-53.5257,-58.4916,-51.7603,-41.6056
7KK4,CHEMBL2058925_0,C25,-41.8154,-56.6025,-61.9826,-52.2808,-45.1109
7KK4,CHEMBL2058927_0,C27,-29.8177,-49.7883,-54.4338,-45.6475,-41.2144
