Protein,Ligand,ID,MMPBSA,MMGBSA_2,MMGBSA_5,MMGBSA_7,MMGBSA_8
7KK4,Z203182878_0,Z78,-6.8859,-40.1089,-41.6401,-34.4433,-27.5692
7KK4,Z168437718_0,Z18,-9.7641,-38.6748,-41.9910,-36.9592,-33.5701
7KK4,Z154340778_0,Z78,-14.9801,-42.1502,-43.9873,-39.1055,-36.0818
7KK4,Z194901778_0,Z78,-28.6130,-52.1673,-57.5623,-48.8636,-45.9341
7KK4,Z194902302_0,Z02,-39.8367,-57.1035,-62.2045,-56.0888,-52.3562
7KK4,Z194983402_0,Z02,-22.3465,-48.9960,-53.3877,-48.6709,-45.9486
7KK4,Z195001052_0,Z52,-33.2398,-50.4616,-52.8812,-49.9717,-44.9816
7KK4,Z195103428_0,Z28,-19.5354,-39.0569,-43.0240,-36.9171,-34.3732
7KK4,Z195081646_0,Z46,-21.1263,-50.6955,-53.0445,-47.2477,-40.3683
7KK4,Z198745064_0,Z64,-18.5923,-40.3257,-45.8437,-40.8181,-38.1451
7KK4,Z212153790_0,Z90,-0.4594,-28.4371,-29.3119,-25.1789,-21.9510
7KK4,Z2161480682_0,Z82,-42.0709,-53.0637,-57.9025,-54.7627,-47.3000
7KK4,Z1268289573_0,Z73,-38.7403,-54.3299,-57.7707,-51.4048,-47.0728
7KK4,Z2190292055_0,Z55,-25.1566,-42.5988,-43.0311,-36.0106,-31.9817
7KK4,Z31277306_0,Z06,-11.9833,-45.2779,-50.5064,-43.0996,-38.8747
7KK4,Z31703932_0,Z32,-14.5059,-34.7852,-38.8298,-37.1900,-27.1031
7KK4,Z117018910_0,Z10,-29.5505,-43.3385,-45.6597,-45.5542,-36.1992
7KK4,Z145386636_0,Z36,-33.3160,-45.9122,-47.4551,-43.7597,-39.0771
7KK4,Z117018886_0,Z86,-23.7984,-46.0736,-48.1511,-47.7354,-33.3805
7KK4,Z45239769_0,Z69,-39.4066,-60.1870,-66.0111,-57.0790,-56.3985
7KK4,Z8479530513_0,Z13,-37.6019,-62.4145,-67.1644,-60.7480,-54.5441
