Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
CHEMBL2058684,O=C1CCNC(=O)N1c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C18H18FN5O3,371.37,27,12,0.33,3,5,3,106.32,107.19,2.08,0.57,0.39,1.98,2.69,1.54,-2.63,8.66e-01,2.33e-03,Soluble,-2.39,1.50e+00,4.04e-03,Soluble,-5.86,5.09e-04,1.37e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.16,0,0,0,0,0,0.55,0,0,1,3.19
CHEMBL2058916,O=C1NCCN(C1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C19H20FN5O3,385.39,28,12,0.37,4,5,3,110.40,107.19,2.27,0.47,-0.48,1.40,2.92,1.32,-2.58,1.02e+00,2.64e-03,Soluble,-2.29,1.98e+00,5.13e-03,Soluble,-5.91,4.72e-04,1.22e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.32,0,1,0,0,0,0.55,0,0,1,3.24
CHEMBL3945778,O=C1NC(C(=O)N1c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2)Cc1ccccc1,C25H23FN4O3,446.47,33,18,0.28,5,5,2,128.34,95.16,3.24,3.46,2.70,3.81,4.91,3.62,-4.86,6.14e-03,1.38e-05,Moderately soluble,-5.14,3.23e-03,7.24e-06,Moderately soluble,-8.44,1.64e-06,3.67e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-6.57,0,0,0,0,0,0.55,0,1,1,3.99
CHEMBL3976097,O=C1NC(C(=O)N1c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2)Cc1ccccc1,C24H22FN5O3,447.46,33,18,0.25,5,5,3,130.80,107.19,2.87,2.65,1.61,3.08,3.95,2.83,-4.36,1.96e-02,4.39e-05,Moderately soluble,-4.55,1.26e-02,2.80e-05,Moderately soluble,-8.21,2.78e-06,6.21e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-7.15,0,1,0,0,0,0.55,0,1,1,4.01
CHEMBL3910486,O=C1NCCCN1c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2,C19H21FN4O2,356.39,26,12,0.42,3,4,2,103.65,78.09,2.80,2.01,1.96,3.20,3.95,2.78,-3.46,1.24e-01,3.47e-04,Soluble,-3.28,1.88e-01,5.29e-04,Soluble,-6.21,2.19e-04,6.14e-07,Poorly soluble,High,No,Yes,No,No,No,No,No,-7.05,0,0,0,0,0,0.55,0,0,1,3.24
CHEMBL3897400,O=C1OCCN1c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2,C18H18FN3O3,343.35,25,12,0.39,3,5,1,93.21,75.29,2.31,2.23,2.37,2.97,4.04,2.79,-3.53,1.01e-01,2.95e-04,Soluble,-3.45,1.23e-01,3.58e-04,Soluble,-5.63,8.03e-04,2.34e-06,Moderately soluble,High,Yes,Yes,Yes,Yes,No,No,No,-6.81,0,0,0,0,0,0.55,0,0,0,3.19
CHEMBL3948205,O=CN1CCN(CC1)C(=O)c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2,C21H24N4O3,380.44,28,12,0.43,5,4,1,113.26,86.37,2.62,1.34,0.39,2.39,3.40,2.03,-3.03,3.55e-01,9.33e-04,Soluble,-2.76,6.68e-01,1.76e-03,Soluble,-5.21,2.36e-03,6.19e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.67,0,0,0,0,0,0.55,0,1,1,3.28
CHEMBL4564916,NCCOCCOCC(=O)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2,C26H30FN5O5,511.55,37,16,0.38,12,8,2,141.82,130.85,3.02,0.24,0.59,1.16,3.56,1.71,-2.69,1.04e+00,2.04e-03,Soluble,-2.55,1.45e+00,2.83e-03,Soluble,-7.07,4.35e-05,8.51e-08,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-9.25,1,2,1,0,0,0.55,0,0,2,3.78
CHEMBL3971166,NCCOCCOCCN1CCCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2,C27H34FN5O4,511.59,37,16,0.44,12,8,2,146.42,113.78,3.64,1.11,1.45,1.80,4.24,2.45,-3.24,2.95e-01,5.77e-04,Soluble,-3.09,4.14e-01,8.08e-04,Soluble,-7.80,8.02e-06,1.57e-08,Poorly soluble,High,No,Yes,No,Yes,No,Yes,Yes,-8.63,1,3,1,0,0,0.55,0,0,2,3.94
CHEMBL3971091,OC1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2,C21H24FN3O3,385.43,28,12,0.48,4,5,2,106.98,86.29,2.75,2.02,2.01,2.84,4.24,2.77,-3.56,1.07e-01,2.78e-04,Soluble,-3.46,1.34e-01,3.47e-04,Soluble,-5.67,8.20e-04,2.13e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.22,0,0,0,0,0,0.55,0,0,1,3.31
CHEMBL3943016,O=C(C1CC1)N1CCCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2,C25H29FN4O3,452.52,33,12,0.52,6,5,1,129.95,86.37,3.11,2.24,2.06,3.21,4.71,3.07,-3.93,5.32e-02,1.18e-04,Soluble,-3.69,9.25e-02,2.04e-04,Soluble,-6.30,2.27e-04,5.01e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.47,0,0,0,0,0,0.55,0,0,1,3.71
CHEMBL3971025,Fc1ccc(cc1C(=O)N1CCNCCC1)Cc1n[nH]c(=O)c2c1CCCC2,C21H25FN4O2,384.45,28,12,0.48,4,5,2,112.54,78.09,2.76,1.85,1.47,2.84,4.41,2.67,-3.44,1.39e-01,3.61e-04,Soluble,-3.11,2.98e-01,7.75e-04,Soluble,-6.53,1.13e-04,2.95e-07,Poorly soluble,High,No,Yes,No,No,No,Yes,No,-7.33,0,0,0,0,0,0.55,0,0,1,3.39
CHEMBL3897941,O=C(N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2)C1CC1,C24H27FN4O3,438.49,32,12,0.50,6,5,1,125.14,86.37,3.30,1.88,1.67,3.01,4.48,2.87,-3.62,1.04e-01,2.37e-04,Soluble,-3.32,2.12e-01,4.83e-04,Soluble,-6.04,4.05e-04,9.23e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.64,0,0,0,0,0,0.55,0,0,1,3.57
CHEMBL3912155,O=C(C1CCCCC1)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2,C27H33FN4O3,480.57,35,12,0.56,6,5,1,139.56,86.37,3.78,3.50,2.90,3.61,5.18,3.80,-4.88,6.30e-03,1.31e-05,Moderately soluble,-5.00,4.84e-03,1.01e-05,Moderately soluble,-6.83,7.12e-05,1.48e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.75,0,2,0,0,0,0.55,0,0,1,3.92
