Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Z203182878,O=C1C[C@@H](C)N(c2c(N1)cccc2)C(=O)CN(C(=O)CCCN1C(=O)c2c(C1=O)cccc2)C,C25H26N4O5,462.50,34,12,0.32,8,5,1,135.46,107.10,2.53,1.09,0.95,1.53,1.98,1.62,-3.13,3.45e-01,7.46e-04,Soluble,-2.93,5.42e-01,1.17e-03,Soluble,-5.95,5.24e-04,1.13e-06,Moderately soluble,High,No,Yes,No,No,Yes,No,Yes,-8.35,0,1,0,0,0,0.55,0,1,2,3.67
Z168437718,CN(C(=O)[C@H]1CCCN(C1)S(=O)(=O)c1c(C)noc1C)Cc1nc2ccccc2c(=O)[nH]1,C21H25N5O5S,459.52,32,15,0.43,6,8,1,121.38,137.85,2.70,0.77,2.14,0.78,1.82,1.64,-3.12,3.45e-01,7.50e-04,Soluble,-3.25,2.61e-01,5.69e-04,Soluble,-5.73,8.56e-04,1.86e-06,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-8.56,0,0,0,1,0,0.55,0,0,1,4.23
Z154340778,O=C(N1CCC[C@@H]1c1ccc2c(c1)OCCCO2)CN1C(=O)N[C@@](C1=O)(C)c1ccc(c(c1)F)F,C25H25F2N3O5,485.48,35,12,0.40,5,7,1,131.73,88.18,3.71,2.84,2.52,2.65,3.66,3.08,-4.56,1.33e-02,2.74e-05,Moderately soluble,-4.35,2.17e-02,4.47e-05,Moderately soluble,-6.56,1.33e-04,2.74e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.25,0,2,0,0,0,0.55,0,1,1,4.20
Z194901778,O=C(Nc1ccc(c(c1)S(=O)(=O)Nc1ccc(cc1C)C)C)CCn1c(=O)[nH]c(=O)c2c1cccc2,C26H26N4O5S,506.57,36,22,0.19,8,5,3,140.74,138.51,2.82,3.05,4.14,2.84,3.75,3.32,-4.83,7.55e-03,1.49e-05,Moderately soluble,-5.62,1.20e-03,2.37e-06,Moderately soluble,-9.11,3.90e-07,7.69e-10,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-7.22,1,2,0,1,0,0.55,0,0,2,3.65
Z194902302,O=C(Nc1ccc(c(c1)S(=O)(=O)Nc1ccccc1Cl)C)CCn1c(=O)[nH]c(=O)c2c1cccc2,C24H21ClN4O5S,512.97,35,22,0.12,8,5,3,135.82,138.51,2.19,2.95,4.18,2.90,3.33,3.11,-4.82,7.84e-03,1.53e-05,Moderately soluble,-5.52,1.55e-03,3.01e-06,Moderately soluble,-8.95,5.78e-07,1.13e-09,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-7.33,1,2,0,1,0,0.55,0,0,2,3.47
Z194983402,O=C(Nc1ccc(c(c1)S(=O)(=O)Nc1cccc(c1)C)C)CCn1c(=O)[nH]c(=O)c2c1cccc2,C25H24N4O5S,492.55,35,22,0.16,8,5,3,135.78,138.51,2.43,2.69,3.84,2.63,3.22,2.96,-4.53,1.47e-02,2.98e-05,Moderately soluble,-5.25,2.76e-03,5.61e-06,Moderately soluble,-8.74,8.90e-07,1.81e-09,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-7.39,0,2,0,1,0,0.55,0,0,2,3.52
Z195001052,O=C(Nc1cccc(c1)c1nnc2n1CCCCC2)CCn1c(=O)[nH]c(=O)c2c1cccc2,C24H24N6O3,444.49,33,21,0.29,6,5,2,126.28,114.67,2.60,1.67,2.51,3.14,3.01,2.59,-3.72,8.41e-02,1.89e-04,Soluble,-3.69,9.03e-02,2.03e-04,Soluble,-7.07,3.78e-05,8.51e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,No,No,-7.83,0,0,0,0,0,0.55,0,0,1,3.61
Z195103428,O=C(N1CCN(CC1)Cc1cccc2c1cccc2)Cn1c(=O)[nH]c(=O)c2c1cccc2,C25H24N4O3,428.48,32,20,0.24,5,4,1,132.63,78.41,3.28,2.71,1.27,2.75,3.33,2.67,-4.34,1.97e-02,4.61e-05,Moderately soluble,-4.01,4.19e-02,9.77e-05,Moderately soluble,-6.95,4.85e-05,1.13e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-6.99,0,1,0,0,0,0.55,0,0,1,3.07
Z195081646,CN(C(=O)Cn1c(=O)[nH]c(=O)c2c1cccc2)Cc1cn(nc1c1ccccc1)c1ccccc1,C27H23N5O3,465.50,35,27,0.11,7,4,1,134.65,92.99,3.40,3.28,3.05,3.25,3.50,3.30,-4.90,5.84e-03,1.25e-05,Moderately soluble,-4.91,5.76e-03,1.24e-05,Moderately soluble,-8.22,2.79e-06,6.00e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-6.81,0,1,0,0,0,0.55,0,0,1,3.51
Z198745064,O=C(c1oc(=O)c2c(c1c1ccccc1)cccc2)c1ccc(cc1)S(=O)(=O)N1CCCCC1,C27H23NO5S,473.54,34,22,0.19,5,6,0,134.81,93.04,3.67,4.63,5.57,3.04,4.79,4.34,-5.84,6.82e-04,1.44e-06,Moderately soluble,-6.31,2.32e-04,4.90e-07,Poorly soluble,-9.09,3.81e-07,8.05e-10,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-5.90,0,1,0,0,0,0.55,0,0,2,3.92
Z212153790,O=C(N(Cc1nc2ccccc2c(=O)[nH]1)Cc1ccccc1)[C@H]1OC(=O)c2c(C1)cccc2,C26H21N3O4,439.46,33,22,0.15,6,5,1,122.99,92.36,2.62,3.36,2.93,3.19,4.41,3.30,-4.78,7.31e-03,1.66e-05,Moderately soluble,-4.98,4.63e-03,1.05e-05,Moderately soluble,-8.48,1.46e-06,3.33e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-6.60,0,0,0,0,0,0.55,0,0,1,3.66
